Περιοχή,ΤΚ,"Νέες συνδέσεις","Μήνας σύνδεσης"
ΠΑΛΑΤΙΑΝΗ,13122,1,05/2025
ΠΑΛΛΗΝΗ,15351,4,05/2025
ΠΑΛΟΥΚΙΑ,18901,5,05/2025
ΠΑΠΑΓΟΣ,15669,9,05/2025
ΠΑΡΑΔΕΙΣΟΣ,15125,8,05/2025
ΠΑΡΑΔΕΙΣΟΣ,15343,2,05/2025
ΠΑΣΑΛΙΜΑΝΙ,18534,1,05/2025
ΠΑΤΗΜΑ,15238,3,05/2025
ΠΕΙΡΑΙΚΗ,18537,2,05/2025
ΠΕΡΑΜΑ,18863,1,05/2025
ΠΕΡΙΒΟΛΑΚΙ,18450,1,05/2025
ΠΕΡΙΣΣΟΣ,14232,7,05/2025
ΠΕΡΙΣΣΟΣ,14233,2,05/2025
ΠΕΡΙΣΤΕΡΙ,12131,14,05/2025
ΠΕΡΙΣΤΕΡΙ,12132,3,05/2025
ΠΕΡΙΣΤΕΡΙ,12134,3,05/2025
ΠΕΡΙΣΤΕΡΙ,12136,10,05/2025
ΠΕΡΙΣΤΕΡΙ,12137,2,05/2025
ΠΕΤΡΑΛΩΝΑ,11851,1,05/2025
ΠΕΤΡΟΥΠΟΛΗ,13231,19,05/2025
ΠΕΤΡΟΥΠΟΛΗ,13232,2,05/2025
ΠΕΥΚΑΚΙΑ,15343,3,05/2025
ΠΕΥΚΗ,15121,19,05/2025
ΠΗΓΑΔΑΚΙΑ,16673,7,05/2025
ΠΛΑΚΑ,10557,1,05/2025
"ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ",11252,1,05/2025
ΠΟΛΥΔΡΟΣΟ,15125,2,05/2025
"ΠΡΟΦ. ΔΑΝΙΗΛ",10447,6,05/2025
"ΠΡΟΦ. ΗΛΙΑΣ",18531,1,05/2025
"ΠΡΟΦ. ΗΛΙΑΣ",18532,1,05/2025
ΡΑΔΙΟΦΩΝΙΑ,13122,2,05/2025
ΡΕΣΤΗ,18900,1,05/2025
ΡΙΖΟΥΠΟΛΗ,11142,1,05/2025
ΣΑΡΩΝΙΚΟΣ,17341,1,05/2025
ΣΑΡΩΝΙΚΟΣ,17343,1,05/2025
ΣΕΛΗΝΙΑ,18902,1,05/2025
ΣΕΠΟΛΙΑ,10443,1,05/2025
ΣΟΥΛΙ,17342,1,05/2025
ΣΟΥΡΜΕΝΑ,16777,13,05/2025
ΣΤΑΘΜΟΣ,18345,1,05/2025
ΣΧΙΣΤΟ,18122,2,05/2025
ΣΩΡΟΥ,15125,2,05/2025
ΤΑΞΙΑΡΧΕΣ,18121,1,05/2025
ΤΑΥΡΟΣ,17778,1,05/2025
ΤΕΡΜΑ,18863,1,05/2025
ΤΕΡΨΙΘΕΑ,16561,1,05/2025
ΤΕΡΨΙΘΕΑ,16562,20,05/2025
ΤΕΡΨΙΘΕΑ,18535,3,05/2025
ΤΕΡΨΙΘΕΑ,18536,3,05/2025
ΤΖΙΤΖΙΦΙΕΣ,17673,28,05/2025
ΤΡΑΥΜΑΤΙΩΝ,17456,5,05/2025
ΤΣΑΚΟΣ,15341,1,05/2025
ΤΣΑΜΗ,18900,1,05/2025
ΥΜΗΤΤΟΣ,17236,1,05/2025
ΥΜΗΤΤΟΣ,17237,2,05/2025
ΦΙΛΟΘΕΗ,15237,2,05/2025
ΦΙΛΟΠΑΠΠΟΥ,11741,1,05/2025
ΧΑΙΔΑΡΙ,12461,9,05/2025
ΧΑΛΑΝΔΡΙ,15232,3,05/2025
ΧΑΛΑΝΔΡΙ,15233,2,05/2025
ΧΑΛΑΝΔΡΙ,15234,1,05/2025
ΧΑΛΑΝΔΡΙ,15238,1,05/2025
ΧΑΡΑΥΓΗ,13673,1,05/2025
ΧΑΡΑΥΓΗ,18755,1,05/2025
ΧΑΡΟΚΟΠΟΥ,17671,1,05/2025
ΧΑΡΟΚΟΠΟΥ,17672,5,05/2025
ΧΑΣΑΝΙ,16777,2,05/2025
ΧΟΛΑΡΓΟΣ,15562,4,05/2025
ΨΥΧΙΚΟ,15452,1,05/2025
ΚΕΝΤΡΟ,10432,1,06/2023
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10441,8,06/2023
ΚΟΛΟΚΥΝΘΟΥ,10442,1,06/2023
ΚΟΛΩΝΟΣ,10443,5,06/2023
ΣΕΠΟΛΙΑ,10443,3,06/2023
ΚΟΛΩΝΟΣ,10444,18,06/2023
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10447,1,06/2023
"ΠΡΟΦ. ΔΑΝΙΗΛ",10447,1,06/2023
ΚΕΝΤΡΟ,10551,1,06/2023
ΨΥΡΡΗ,10554,2,06/2023
ΠΛΑΚΑ,10555,1,06/2023
ΠΛΑΚΑ,10556,1,06/2023
ΠΛΑΚΑ,10557,1,06/2023
ΚΕΝΤΡΟ,10560,1,06/2023
ΚΕΝΤΡΟ,10563,1,06/2023
ΚΟΛΩΝΑΚΙ,10673,1,06/2023
ΕΞΑΡΧΕΙΑ,10680,1,06/2023
ΝΕΑΠΟΛΗ,10680,1,06/2023
ΕΞΑΡΧΕΙΑ,10681,1,06/2023
ΜΟΥΣΕΙΟ,10682,3,06/2023
ΡΙΖΟΥΠΟΛΗ,11142,2,06/2023
"ΑΓ. ΕΛΕΥΘΕΡΙΟΣ",11145,2,06/2023
"ΚΑΤΩ ΠΑΤΗΣΙΑ",11145,4,06/2023
"ΤΡΕΙΣ ΓΕΦΥΡΕΣ",11145,1,06/2023
ΓΑΛΑΤΣΙ,11146,1,06/2023
ΓΑΛΑΤΣΙ,11147,2,06/2023
"ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ",11252,3,06/2023
ΚΟΛΙΑΤΣΟΥ,11255,7,06/2023
ΚΕΝΤΡΟ,11471,2,06/2023
ΝΕΑΠΟΛΗ,11471,1,06/2023
ΝΕΑΠΟΛΗ,11472,1,06/2023
ΓΚΥΖΗ,11474,1,06/2023
"ΝΕΑ ΚΥΨΕΛΗ",11476,1,06/2023
ΑΜΠΕΛΟΚΗΠΟΙ,11521,1,06/2023
ΓΗΡΟΚΟΜΕΙΟ,11524,1,06/2023
"ΝΕΑ ΦΙΛΟΘΕΗ",11524,1,06/2023
ΕΛΛΗΝΟΡΩΣΩΝ,11525,1,06/2023
ΑΜΠΕΛΟΚΗΠΟΙ,11527,8,06/2023
ΙΛΙΣΙΑ,11528,1,06/2023
ΓΟΥΒΑ,11632,1,06/2023
ΠΑΓΚΡΑΤΙ,11632,1,06/2023
ΚΥΝΟΣΑΡΓΟΥΣ,11743,1,06/2023
"ΑΝΩ ΠΕΤΡΑΛΩΝΑ",11851,1,06/2023
"ΑΝΩ ΠΕΤΡΑΛΩΝΑ",11852,4,06/2023
"ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ",11853,2,06/2023
ΠΕΡΙΣΤΕΡΙ,12131,11,06/2023
"Ν. ΚΟΛΟΚΥΝΘΟΥ",12132,3,06/2023
ΠΕΡΙΣΤΕΡΙ,12132,3,06/2023
ΜΠΟΥΡΝΑΖΙ,12133,5,06/2023
ΠΕΡΙΣΤΕΡΙ,12134,6,06/2023
ΑΝΘΟΥΠΟΛΗ,12135,1,06/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12136,2,06/2023
ΠΕΡΙΣΤΕΡΙ,12136,8,06/2023
"ΑΓ. ΙΕΡΟΘΕΟΣ",12137,1,06/2023
ΑΝΘΟΥΠΟΛΗ,12137,1,06/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12137,7,06/2023
ΠΕΡΙΣΤΕΡΙ,12137,3,06/2023
ΒΙΑΜΑΞ,12242,1,06/2023
"ΔΕΞ. ΙΕΡΑΣ ΟΔΟΥ",12242,4,06/2023
ΑΝΑΓΕΝΝΗΣΗ,12243,4,06/2023
"ΑΝΩ ΛΙΟΥΜΗ",12243,2,06/2023
ΛΙΟΥΜΗ,12243,5,06/2023
ΙΕΡΑΠΟΛΗ,12244,6,06/2023
ΝΤΑΜΑΡΑΚΙΑ,12244,3,06/2023
"ΑΡ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,3,06/2023
"ΔΕΞ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,3,06/2023
"ΣΥΝ. ΣΙΔΗΡΟΠΟΥΛΟΥ",12461,1,06/2023
ΧΑΙΔΑΡΙ,12461,2,06/2023
ΔΑΣΟΣ,12462,2,06/2023
ΣΚΑΡΑΜΑΓΚΑΣ,12462,1,06/2023
ΙΛΙΟΝ,13121,3,06/2023
ΠΑΛΑΤΙΑΝΗ,13121,8,06/2023
ΙΛΙΟΝ,13122,9,06/2023
ΠΑΛΑΤΙΑΝΗ,13122,3,06/2023
ΙΛΙΟΝ,13123,3,06/2023
ΜΙΧΕΛΗ,13123,2,06/2023
ΚΗΠΟΥΠΟΛΗ,13231,1,06/2023
ΠΕΤΡΟΥΠΟΛΗ,13231,9,06/2023
ΠΕΤΡΟΥΠΟΛΗ,13232,1,06/2023
"ΑΓ. ΝΙΚΟΛΑΟΣ",13451,1,06/2023
ΓΕΡΟΒΟΥΝΟ,13451,4,06/2023
ΚΑΜΑΤΕΡΟ,13451,4,06/2023
"Ν. ΟΛΥΜΠΙΑ",13451,3,06/2023
ΡΑΔΙΟΦΩΝΙΑ,13451,1,06/2023
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13561,4,06/2023
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13562,1,06/2023
"ΣΥΝ. ΣΕΚ",13562,1,06/2023
"ΑΓ. ΑΝΝΑ",13671,1,06/2023
ΛΥΚΟΤΡΥΠΑ,13671,2,06/2023
ΝΕΑΠΟΛΗ,13672,3,06/2023
"ΠΑΛ. ΜΕΝΙΔΙ",13673,1,06/2023
ΧΑΡΑΥΓΗ,13673,1,06/2023
ΛΑΘΕΑ,13674,2,06/2023
ΝΕΑΠΟΛΗ,13674,1,06/2023
"ΠΑΛ. ΜΕΝΙΔΙ",13674,2,06/2023
"ΑΓ. ΙΩΑΝΝΗΣ ΡΩΣΟΣ",13675,1,06/2023
"ΑΓ. ΠΕΤΡΟΣ",13675,1,06/2023
ΝΕΑΠΟΛΗ,13675,1,06/2023
ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,13676,2,06/2023
ΛΑΘΕΑ,13678,4,06/2023
ΜΠΟΣΚΙΖΑ,13679,1,06/2023
ΠΑΝΟΡΑΜΑ,13679,1,06/2023
ΗΡΑΚΛΕΙΟ,14121,5,06/2023
ΗΡΑΚΛΕΙΟ,14122,1,06/2023
ΛΥΚΟΒΡΥΣΗ,14123,12,06/2023
ΠΕΥΚΑΚΙΑ,14231,1,06/2023
ΠΕΡΙΣΣΟΣ,14232,2,06/2023
ΝΕΑΠΟΛΗ,14233,1,06/2023
ΚΑΛΟΓΡΕΖΑ,14234,2,06/2023
"ΝΕΑ ΙΩΝΙΑ",14234,2,06/2023
"ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ",14341,2,06/2023
"ΝΕΑ ΜΑΔΥΤΟΣ",14342,1,06/2023
ΜΕΤΑΜΟΡΦΩΣΗ,14451,2,06/2023
ΜΕΤΑΜΟΡΦΩΣΗ,14452,3,06/2023
"ΚΑΤΩ ΚΗΦΙΣΙΑ",14561,2,06/2023
ΑΛΩΝΙΑ,14562,1,06/2023
ΚΗΦΙΣΙΑ,14562,3,06/2023
ΚΟΚΚΙΝΑΡΑΣ,14562,2,06/2023
"ΚΑΤΩ ΚΗΦΙΣΙΑ",14564,1,06/2023
"ΝΕΑ ΚΗΦΙΣΙΑ",14564,2,06/2023
ΠΕΥΚΗ,15121,1,06/2023
ΜΑΡΟΥΣΙ,15122,7,06/2023
ΦΙΛΟΘΕΗ,15123,2,06/2023
"ΑΓ. ΘΩΜΑΣ",15124,1,06/2023
ΜΑΡΟΥΣΙ,15124,6,06/2023
"Ν. ΜΑΡΟΥΣΙ",15125,1,06/2023
ΠΑΡΑΔΕΙΣΟΣ,15125,1,06/2023
ΜΑΡΟΥΣΙ,15126,4,06/2023
"Ν. ΜΑΡΟΥΣΙ",15126,1,06/2023
"ΝΕΑ ΛΕΣΒΟΣ",15126,1,06/2023
ΜΕΛΙΣΣΙΑ,15127,6,06/2023
ΧΑΛΑΝΔΡΙ,15231,9,06/2023
ΧΑΛΑΝΔΡΙ,15233,2,06/2023
ΧΑΛΑΝΔΡΙ,15234,18,06/2023
"ΝΕΑ ΠΕΝΤΕΛΗ",15236,1,06/2023
ΦΙΛΟΘΕΗ,15237,2,06/2023
ΠΑΤΗΜΑ,15238,2,06/2023
ΤΣΑΚΟΣ,15341,1,06/2023
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",15342,3,06/2023
ΚΟΝΤΟΠΕΥΚΟ,15343,1,06/2023
ΠΑΡΑΔΕΙΣΟΣ,15343,2,06/2023
ΠΕΥΚΑΚΙΑ,15343,2,06/2023
ΓΕΡΑΚΑΣ,15344,1,06/2023
"ΓΛΥΚΑ ΝΕΡΑ",15354,1,06/2023
"ΝΕΟ ΨΥΧΙΚΟ",15451,5,06/2023
ΨΥΧΙΚΟ,15452,11,06/2023
ΧΟΛΑΡΓΟΣ,15561,2,06/2023
ΠΑΠΑΓΟΣ,15669,1,06/2023
ΖΩΓΡΑΦΟΥ,15771,2,06/2023
ΙΛΙΣΙΑ,15771,5,06/2023
ΖΩΓΡΑΦΟΥ,15773,1,06/2023
ΚΑΙΣΑΡΙΑΝΗ,16121,6,06/2023
ΜΕΤΑΜΟΡΦΩΣΗ,16232,1,06/2023
"ΖΩΟΔΟΧΟΥ ΠΗΓΗΣ",16233,1,06/2023
ΚΑΡΕΑΣ,16233,4,06/2023
ΗΛΙΟΥΠΟΛΗ,16341,8,06/2023
ΗΛΙΟΥΠΟΛΗ,16345,4,06/2023
ΚΑΝΑΡΙΑ,16345,1,06/2023
"ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ",16346,2,06/2023
ΗΛΙΟΥΠΟΛΗ,16346,3,06/2023
ΑΡΓΥΡΟΥΠΟΛΗ,16451,8,06/2023
ΑΡΓΥΡΟΥΠΟΛΗ,16452,3,06/2023
ΓΛΥΦΑΔΑ,16561,13,06/2023
"ΣΑΜΙΩΝ ΙΚΑΡΙΩΝ",16561,4,06/2023
ΤΕΡΨΙΘΕΑ,16561,3,06/2023
ΤΕΡΨΙΘΕΑ,16562,11,06/2023
ΒΑΡΗ,16672,2,06/2023
ΛΑΘΟΥΡΙΖΑ,16672,1,06/2023
ΜΗΛΑΔΕΖΑ,16672,1,06/2023
ΒΟΥΛΑ,16673,22,06/2023
ΔΙΚΗΓΟΡΙΚΑ,16673,1,06/2023
ΚΑΛΥΜΝΙΩΝ,16673,6,06/2023
ΠΑΝΟΡΑΜΑ,16673,2,06/2023
"ΑΓ. ΝΙΚΟΛΑΟΣ",16674,2,06/2023
ΓΛΥΦΑΔΑ,16674,15,06/2023
ΒΟΣΠΟΡΟΣ,16675,1,06/2023
ΓΛΥΦΑΔΑ,16675,18,06/2023
ΕΛΛΗΝΙΚΟ,16777,2,06/2023
ΣΟΥΡΜΕΝΑ,16777,14,06/2023
"ΝΕΑ ΣΜΥΡΝΗ",17121,3,06/2023
"ΝΕΑ ΣΜΥΡΝΗ",17123,3,06/2023
ΔΑΦΝΗ,17234,6,06/2023
ΔΑΦΝΗ,17237,2,06/2023
ΧΑΡΑΥΓΗ,17237,1,06/2023
ΑΣΥΡΜΑΤΟΣ,17341,1,06/2023
ΣΑΡΩΝΙΚΟΣ,17341,16,06/2023
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17342,2,06/2023
ΑΝΟΙΞΗ,17342,1,06/2023
"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ",17342,6,06/2023
ΕΛΗΑ,17342,1,06/2023
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17343,6,06/2023
ΑΝΘΕΩΝ,17343,2,06/2023
ΑΛΙΜΟΣ,17455,17,06/2023
ΑΜΠΕΛΑΚΙΑ,17455,4,06/2023
ΚΑΛΑΜΑΚΙ,17455,8,06/2023
"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ",17456,1,06/2023
ΕΦΟΡΙΑΚΩΝ,17456,1,06/2023
ΤΡΑΥΜΑΤΙΩΝ,17456,1,06/2023
"ΠΑΛΑΙΟ ΦΑΛΗΡΟ",17561,5,06/2023
"ΑΓ. ΒΑΡΒΑΡΑ",17563,1,06/2023
ΑΜΦΙΘΕΑ,17563,2,06/2023
ΑΜΦΙΘΕΑ,17564,1,06/2023
ΠΑΝΤΕΙΟΣ,17671,2,06/2023
ΚΑΛΛΙΘΕΑ,17672,1,06/2023
ΤΑΥΡΟΣ,17778,4,06/2023
"ΑΓ. ΒΑΡΒΑΡΑ",18120,1,06/2023
"ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ",18120,1,06/2023
"Γ ΝΕΚΡΟΤΑΦΕΙΟ",18121,1,06/2023
ΤΑΞΙΑΡΧΕΣ,18121,2,06/2023
ΣΧΙΣΤΟ,18122,1,06/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",18233,2,06/2023
ΜΕΤΑΜΟΡΦΩΣΗ,18344,3,06/2023
ΠΑΡΑΛΙΑ,18344,1,06/2023
"ΟΣΙΑ ΞΕΝΗ",18450,1,06/2023
"ΟΣΙΑ ΞΕΝΗ",18451,2,06/2023
ΧΑΛΚΗΔΟΝΑ,18451,1,06/2023
ΑΝΑΛΗΨΗ,18452,1,06/2023
ΝΕΑΠΟΛΗ,18452,7,06/2023
"ΑΓ. ΝΙΚΟΛΑΟΣ",18453,11,06/2023
ΚΡΗΝΗ,18453,2,06/2023
"ΟΣΙΑ ΞΕΝΗ",18453,1,06/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",18454,1,06/2023
ΚΕΝΤΡΟ,18531,1,06/2023
"ΠΡΟΦ. ΗΛΙΑΣ",18532,1,06/2023
ΚΡΗΤΙΚΑ,18533,1,06/2023
ΧΑΤΖΗΚΥΡΙΑΚΕΙΟ,18538,1,06/2023
ΚΑΛΛΙΠΟΛΗ,18539,1,06/2023
ΧΑΤΖΗΚΥΡΙΑΚΕΙΟ,18539,1,06/2023
ΑΠΟΛΛΩΝ,18541,1,06/2023
"Π. ΚΟΚΚΙΝΙΑ",18542,2,06/2023
"ΑΓ. ΣΟΦΙΑ",18543,1,06/2023
ΚΑΡΑΒΑΣ,18543,1,06/2023
ΜΑΝΙΑΤΙΚΑ,18543,1,06/2023
ΜΑΝΙΑΤΙΚΑ,18544,2,06/2023
ΜΑΝΙΑΤΙΚΑ,18545,2,06/2023
ΜΑΝΙΑΤΙΚΑ,18546,1,06/2023
"ΝΕΟ ΦΑΛΗΡΟ",18547,1,06/2023
ΔΡΑΠΕΤΣΩΝΑ,18648,2,06/2023
ΑΝΑΣΤΑΣΗ,18755,1,06/2023
ΕΥΓΕΝΕΙΑ,18755,1,06/2023
ΤΑΜΠΟΥΡΙΑ,18756,2,06/2023
ΧΑΛΚΗΔΩΝ,18756,1,06/2023
ΑΜΦΙΑΛΗ,18757,2,06/2023
ΚΟΚΚΙΝΟΒΡΑΧΟΣ,18757,1,06/2023
"ΑΓ. ΑΝΤΩΝΙΟΣ",18758,1,06/2023
"ΑΓ. ΜΗΝΑΣ",18758,3,06/2023
ΠΑΠΑΔΟΠΟΥΛΟΥ,18863,4,06/2023
"ΑΓ. ΜΗΝΑΣ",18900,1,06/2023
ΑΛΩΝΙΑ,18900,1,06/2023
ΚΟΥΦΟΥ,18900,2,06/2023
"ΜΠΛΕ ΛΙΜΑΝΙ",18900,2,06/2023
ΤΣΑΜΗ,18900,1,06/2023
"ΑΙΑΝΤΕΙΟ ΑΓ. ΧΑΡΑΛΑΜΠΟΣ",18903,1,06/2023
ΔΗΜΗΤΡΑΝΙ,18903,1,06/2023
"ΝΕΑ ΠΕΡΑΜΟΣ",19006,1,06/2023
ΜΑΓΟΥΛΑ,19018,3,06/2023
ΕΛΕΥΣΙΝΑ,19200,10,06/2023
ΑΣΠΡΟΠΥΡΓΟΣ,19300,9,06/2023
"ΤΡΥΠΑ ΑΛΕΠΟΥ (Θ. 14)",19300,1,06/2023
"ΠΛΑΤΕΙΑ ΒΑΘΗΣ",10433,1,06/2024
ΚΟΛΩΝΟΣ,10444,1,06/2024
"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ",10446,1,06/2024
ΘΥΜΑΡΑΚΙΑ,10446,1,06/2024
ΚΕΝΤΡΟ,10551,2,06/2024
ΚΕΝΤΡΟ,10552,10,06/2024
ΚΕΡΑΜΕΙΚΟΣ,10553,1,06/2024
ΚΕΝΤΡΟ,10554,3,06/2024
ΚΕΝΤΡΟ,10557,1,06/2024
ΠΛΑΚΑ,10558,4,06/2024
ΚΕΝΤΡΟ,10560,1,06/2024
ΚΕΝΤΡΟ,10562,2,06/2024
ΚΕΝΤΡΟ,10563,1,06/2024
"ΑΓ. ΛΟΥΚΑΣ",11141,13,06/2024
ΡΙΖΟΥΠΟΛΗ,11142,1,06/2024
"ΑΓ. ΕΛΕΥΘΕΡΙΟΣ",11143,6,06/2024
"ΑΓ. ΛΟΥΚΑΣ",11144,10,06/2024
ΓΑΛΑΤΣΙ,11146,8,06/2024
ΓΑΛΑΤΣΙ,11147,2,06/2024
ΚΕΦΑΛΛΗΝΙΑΣ,11251,1,06/2024
ΚΟΛΙΑΤΣΟΥ,11253,1,06/2024
ΚΥΨΕΛΗ,11256,15,06/2024
ΚΥΨΕΛΗ,11257,1,06/2024
"ΑΝΩ ΚΥΨΕΛΗ",11363,2,06/2024
"ΝΕΑ ΚΥΨΕΛΗ",11363,6,06/2024
"ΑΝΩ ΚΥΨΕΛΗ",11364,1,06/2024
ΝΕΑΠΟΛΗ,11471,1,06/2024
"ΠΕΔΙΟΝ ΑΡΕΩΣ",11473,1,06/2024
ΓΚΥΖΗ,11475,1,06/2024
ΓΚΥΖΗ,11476,1,06/2024
ΑΜΠΕΛΟΚΗΠΟΙ,11527,1,06/2024
ΓΟΥΒΑ,11631,1,06/2024
ΚΟΥΚΑΚΙ,11741,1,06/2024
ΒΕΙΚΟΥ,11742,1,06/2024
ΚΟΥΚΑΚΙ,11742,1,06/2024
"ΝΕΟΣ ΚΟΣΜΟΣ",11744,1,06/2024
ΘΗΣΕΙΟ,11851,1,06/2024
"ΑΝΩ ΠΕΤΡΑΛΩΝΑ",11852,6,06/2024
"ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ",11853,4,06/2024
ΓΚΑΖΟΧΩΡΙ,11854,6,06/2024
ΠΕΡΙΣΤΕΡΙ,12131,4,06/2024
"Ν. ΚΟΛΟΚΥΝΘΟΥ",12132,1,06/2024
ΠΕΡΙΣΤΕΡΙ,12132,3,06/2024
ΜΠΟΥΡΝΑΖΙ,12133,3,06/2024
ΠΕΡΙΣΤΕΡΙ,12134,9,06/2024
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12135,7,06/2024
ΠΕΡΙΣΤΕΡΙ,12135,2,06/2024
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12136,1,06/2024
ΠΕΡΙΣΤΕΡΙ,12136,5,06/2024
"ΑΓ. ΙΕΡΟΘΕΟΣ",12137,1,06/2024
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12137,3,06/2024
ΠΕΡΙΣΤΕΡΙ,12137,1,06/2024
"ΑΓ. ΣΑΒΒΑΣ",12241,2,06/2024
"ΑΡ. ΙΕΡΑΣ ΟΔΟΥ",12241,9,06/2024
"ΑΓ. ΣΠΥΡΙΔΩΝ",12242,1,06/2024
ΒΙΑΜΑΞ,12242,1,06/2024
"ΔΕΞ. ΙΕΡΑΣ ΟΔΟΥ",12242,8,06/2024
ΛΙΟΥΜΗ,12243,6,06/2024
ΝΤΑΜΑΡΑΚΙΑ,12244,3,06/2024
"ΑΡ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,9,06/2024
"ΔΕΞ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,8,06/2024
"ΑΓ. ΓΡΗΓΟΡΟΥΣΑ",12461,3,06/2024
ΧΑΙΔΑΡΙ,12461,3,06/2024
ΑΦΑΙΑ,12462,2,06/2024
ΔΑΣΟΣ,12462,12,06/2024
ΔΑΦΝΙ,12462,1,06/2024
ΙΛΙΟΝ,13121,6,06/2024
ΠΑΛΑΤΙΑΝΗ,13121,4,06/2024
ΙΛΙΟΝ,13122,3,06/2024
ΡΑΔΙΟΦΩΝΙΑ,13122,1,06/2024
ΙΛΙΟΝ,13123,4,06/2024
ΜΙΧΕΛΗ,13123,1,06/2024
ΠΕΤΡΟΥΠΟΛΗ,13231,4,06/2024
ΠΕΤΡΟΥΠΟΛΗ,13232,5,06/2024
"ΑΓ. ΝΙΚΟΛΑΟΣ",13451,1,06/2024
ΓΕΡΟΒΟΥΝΟ,13451,1,06/2024
ΚΑΜΑΤΕΡΟ,13451,2,06/2024
"Ν. ΟΛΥΜΠΙΑ",13451,3,06/2024
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13561,2,06/2024
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13562,1,06/2024
ΑΝΑΚΑΣΑ,13562,3,06/2024
ΛΥΚΟΤΡΥΠΑ,13671,6,06/2024
"ΑΓ. ΜΑΡΙΝΑ",13672,1,06/2024
"ΑΓ. ΠΕΤΡΟΣ",13672,1,06/2024
ΝΕΑΠΟΛΗ,13672,3,06/2024
"ΠΑΛ. ΜΕΝΙΔΙ",13672,1,06/2024
ΧΑΡΑΥΓΗ,13673,2,06/2024
"ΠΑΛ. ΜΕΝΙΔΙ",13674,3,06/2024
"ΑΓ. ΠΕΤΡΟΣ",13675,3,06/2024
ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,13676,1,06/2024
"ΒΑΡΥΜΠΟΜΠΗ ΣΥΝ ΦΛΟΓΑ",13677,1,06/2024
"ΜΕΓ. ΣΧΙΝΑ",13679,1,06/2024
ΜΠΟΣΚΙΖΑ,13679,1,06/2024
ΗΡΑΚΛΕΙΟ,14121,1,06/2024
ΗΡΑΚΛΕΙΟ,14122,5,06/2024
ΛΥΚΟΒΡΥΣΗ,14123,7,06/2024
"ΝΕΑ ΙΩΝΙΑ",14231,1,06/2024
ΠΕΡΙΣΣΟΣ,14232,1,06/2024
"ΝΕΑ ΙΩΝΙΑ",14233,1,06/2024
ΣΑΦΡΑΜΠΟΛΙΣ,14233,1,06/2024
"ΝΕΑ ΙΩΝΙΑ",14234,1,06/2024
ΑΛΣΟΥΠΟΛΗ,14235,2,06/2024
"ΝΕΑ ΜΑΔΥΤΟΣ",14342,4,06/2024
ΜΕΤΑΜΟΡΦΩΣΗ,14451,1,06/2024
ΜΕΤΑΜΟΡΦΩΣΗ,14452,14,06/2024
"ΚΑΤΩ ΚΗΦΙΣΙΑ",14561,1,06/2024
ΚΗΦΙΣΙΑ,14561,4,06/2024
ΚΟΚΚΙΝΑΡΑΣ,14562,1,06/2024
ΚΗΦΙΣΙΑ,14563,1,06/2024
ΚΟΚΚΙΝΑΡΑΣ,14563,4,06/2024
"ΝΕΑ ΚΗΦΙΣΙΑ",14564,3,06/2024
ΠΕΥΚΗ,15121,5,06/2024
ΜΑΡΟΥΣΙ,15122,4,06/2024
ΨΑΛΙΔΙ,15122,1,06/2024
ΜΑΡΟΥΣΙ,15124,1,06/2024
ΠΑΡΑΔΕΙΣΟΣ,15125,1,06/2024
ΣΩΡΟΥ,15125,2,06/2024
ΜΑΡΟΥΣΙ,15126,2,06/2024
"Ν. ΜΑΡΟΥΣΙ",15126,8,06/2024
"ΝΕΑ ΛΕΣΒΟΣ",15126,3,06/2024
